,f1-score,precision,recall,support
cos,0.9641025641025641,0.9791666666666666,0.9494949494949495,99.0
crh,0.9473684210526315,0.989010989010989,0.9090909090909091,99.0
csb,0.9693877551020409,0.979381443298969,0.9595959595959596,99.0
cym,0.9949748743718593,0.99,1.0,99.0
dan,0.8736842105263157,0.9120879120879121,0.8383838383838383,99.0
deu,0.8571428571428572,0.7948717948717948,0.93,100.0
diq,0.9346733668341709,0.93,0.9393939393939394,99.0
div,1.0,1.0,1.0,100.0
dsb,0.9128205128205129,0.9368421052631579,0.89,100.0
dty,0.7604166666666666,0.7934782608695652,0.73,100.0
egl,0.9538461538461539,0.9789473684210527,0.93,100.0
ell,1.0,1.0,1.0,99.0
eng,0.7381974248927039,0.6466165413533834,0.86,100.0
epo,0.9591836734693877,0.9791666666666666,0.94,100.0
est,0.9595959595959596,0.9595959595959596,0.9595959595959596,99.0
eus,0.98989898989899,1.0,0.98,100.0
ext,0.9381443298969072,0.9578947368421052,0.9191919191919192,99.0
fao,0.9583333333333333,0.989247311827957,0.9292929292929293,99.0
fas,0.8695652173913043,0.8411214953271028,0.9,100.0
fin,0.9603960396039604,0.9509803921568627,0.97,100.0
fra,0.7725321888412017,0.6716417910447762,0.9090909090909091,99.0
frp,0.9191919191919193,0.9285714285714286,0.91,100.0
fry,0.9489795918367346,0.9587628865979382,0.9393939393939394,99.0
fur,0.9795918367346939,1.0,0.96,100.0
gag,0.9166666666666666,0.9565217391304348,0.88,100.0
gla,0.9850746268656716,0.9801980198019802,0.99,100.0
gle,0.989795918367347,1.0,0.9797979797979798,99.0
glg,0.9353233830845771,0.9215686274509803,0.9494949494949495,99.0
glk,0.8804347826086957,0.9642857142857143,0.81,100.0
glv,0.9748743718592964,0.9797979797979798,0.97,100.0
grn,0.9751243781094527,0.9702970297029703,0.98,100.0
guj,0.9947089947089947,1.0,0.9894736842105263,95.0
hak,0.98989898989899,1.0,0.98,100.0
hat,0.9950248756218906,0.9900990099009901,1.0,100.0
hau,0.9849246231155778,0.98989898989899,0.98,100.0
hbs,0.5543478260869565,0.6071428571428571,0.51,100.0
heb,0.9753694581280788,0.9611650485436893,0.99,100.0
hif,0.8854166666666666,0.8854166666666666,0.8854166666666666,96.0
hin,0.9393939393939394,0.9393939393939394,0.9393939393939394,99.0
hrv,0.608294930875576,0.559322033898305,0.6666666666666666,99.0
hsb,0.9215686274509804,0.9038461538461539,0.94,100.0
hun,0.9949748743718593,1.0,0.99,100.0
hye,0.9949238578680203,1.0,0.98989898989899,99.0
ibo,0.9502762430939227,0.9772727272727273,0.9247311827956989,93.0
ido,0.9447236180904524,0.9494949494949495,0.94,100.0
ile,0.9042553191489362,0.9659090909090909,0.85,100.0
ilo,0.9748743718592964,0.97,0.9797979797979798,99.0
ina,0.9207920792079209,0.9029126213592233,0.9393939393939394,99.0
ind,0.7272727272727273,0.6611570247933884,0.8080808080808081,99.0
isl,0.9801980198019802,0.9705882352941176,0.99,100.0
ita,0.8543689320388348,0.822429906542056,0.8888888888888888,99.0
jam,0.98989898989899,0.98989898989899,0.98989898989899,99.0
jav,0.8823529411764706,0.8571428571428571,0.9090909090909091,99.0
jbo,1.0,1.0,1.0,100.0
jpn,0.98989898989899,0.98989898989899,0.98989898989899,99.0
kaa,0.98989898989899,1.0,0.98,100.0
kab,0.9270833333333334,0.956989247311828,0.898989898989899,99.0
kan,0.9950248756218906,0.9900990099009901,1.0,100.0
kat,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
kaz,0.98989898989899,0.98989898989899,0.98989898989899,99.0
kbd,0.9949748743718593,1.0,0.99,100.0
khm,0.9887640449438202,0.9887640449438202,0.9887640449438202,89.0
kin,0.9368421052631579,0.956989247311828,0.9175257731958762,97.0
kir,0.9651741293532338,0.9603960396039604,0.97,100.0
koi,0.8275862068965517,0.8155339805825242,0.84,100.0
kok,0.9518716577540107,0.967391304347826,0.9368421052631579,95.0
kom,0.8911917098445595,0.9247311827956989,0.86,100.0
kor,0.9949238578680203,1.0,0.98989898989899,99.0
krc,0.9547738693467336,0.9595959595959596,0.95,100.0
ksh,0.9381443298969071,0.9680851063829787,0.91,100.0
kur,0.9595959595959594,0.9693877551020408,0.95,100.0
lad,0.9533678756476685,0.989247311827957,0.92,100.0
lao,0.922279792746114,0.9368421052631579,0.9081632653061225,98.0
lat,0.8762886597938144,0.8854166666666666,0.8673469387755102,98.0
lav,0.9797979797979798,0.9897959183673469,0.97,100.0
lez,0.9393939393939394,0.9393939393939394,0.9393939393939394,99.0
lij,0.9500000000000001,0.95,0.95,100.0
lim,0.9230769230769231,0.9473684210526315,0.9,100.0
lin,0.9417989417989419,0.9888888888888889,0.898989898989899,99.0
lit,0.98,0.98,0.98,100.0
lmo,0.9340101522842639,0.9484536082474226,0.92,100.0
lrc,0.8627450980392156,0.8461538461538461,0.88,100.0
ltg,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
ltz,0.9353233830845772,0.9306930693069307,0.94,100.0
lug,0.9846153846153847,1.0,0.9696969696969697,99.0
lzh,0.975609756097561,0.9523809523809523,1.0,100.0
mai,0.9261083743842364,0.9038461538461539,0.9494949494949495,99.0
mal,0.98989898989899,0.98989898989899,0.98989898989899,99.0
map-bms,0.7659574468085106,0.8089887640449438,0.7272727272727273,99.0
mar,0.9595959595959596,0.9595959595959596,0.9595959595959596,99.0
mdf,0.9801980198019802,0.9705882352941176,0.99,100.0
mhr,0.90625,0.9456521739130435,0.87,100.0
min,0.99,0.99,0.99,100.0
mkd,0.9702970297029703,0.9514563106796117,0.98989898989899,99.0
mlg,1.0,1.0,1.0,99.0
mlt,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
mon,0.9519230769230769,0.9166666666666666,0.99,100.0
mri,1.0,1.0,1.0,100.0
mrj,0.9803921568627451,0.9615384615384616,1.0,100.0
msa,0.7486631016042781,0.7865168539325843,0.7142857142857143,98.0
mwl,0.9658536585365853,0.9428571428571428,0.99,100.0
mya,0.9949748743718593,1.0,0.99,100.0
myv,0.8725490196078431,0.8557692307692307,0.89,100.0
mzn,0.9359605911330049,0.9223300970873787,0.95,100.0
nan,0.9950248756218906,0.9900990099009901,1.0,100.0
nap,0.9494949494949495,0.9591836734693877,0.94,100.0
nav,1.0,1.0,1.0,100.0
nci,0.9346733668341709,0.9393939393939394,0.93,100.0
nds,0.9447236180904524,0.9494949494949495,0.94,100.0
nds-nl,0.9090909090909091,0.9183673469387755,0.9,100.0
nep,0.8155339805825242,0.7850467289719626,0.8484848484848485,99.0
new,0.9793814432989691,0.9895833333333334,0.9693877551020408,98.0
nld,0.9333333333333333,0.8909090909090909,0.98,100.0
nno,0.8725490196078431,0.8557692307692307,0.89,100.0
nob,0.8374384236453203,0.8173076923076923,0.8585858585858586,99.0
nrm,0.96,0.96,0.96,100.0
nso,0.9583333333333334,0.9583333333333334,0.9583333333333334,96.0
oci,0.7894736842105263,0.8241758241758241,0.7575757575757576,99.0
olo,0.9696969696969697,0.9795918367346939,0.96,100.0
ori,0.9795918367346939,0.9696969696969697,0.9896907216494846,97.0
orm,0.9693877551020409,0.979381443298969,0.9595959595959596,99.0
oss,0.9850746268656716,0.9801980198019802,0.99,100.0
pag,0.9411764705882353,0.967032967032967,0.9166666666666666,96.0
pam,0.9,0.8823529411764706,0.9183673469387755,98.0
pan,0.9949238578680203,1.0,0.98989898989899,99.0
pap,0.9306930693069307,0.912621359223301,0.9494949494949495,99.0
pcd,0.7106598984771574,0.7142857142857143,0.7070707070707071,99.0
pdc,0.861244019138756,0.8108108108108109,0.9183673469387755,98.0
pfl,0.8877551020408163,0.8969072164948454,0.8787878787878788,99.0
pnb,0.9748743718592964,0.9797979797979798,0.97,100.0
pol,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
por,0.964467005076142,0.9693877551020408,0.9595959595959596,99.0
pus,0.9791666666666666,0.9894736842105263,0.9690721649484536,97.0
que,0.93,0.93,0.93,100.0
roa-tara,0.9452736318407959,0.9405940594059405,0.95,100.0
roh,0.9748743718592964,0.9797979797979798,0.97,100.0
ron,0.9595959595959596,0.9595959595959596,0.9595959595959596,99.0
rue,0.9543147208121826,0.9690721649484536,0.94,100.0
rup,0.9270833333333334,0.956989247311828,0.898989898989899,99.0
rus,0.8202764976958525,0.7542372881355932,0.898989898989899,99.0
sah,0.9846153846153847,1.0,0.9696969696969697,99.0
san,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
scn,0.9611650485436893,0.9339622641509434,0.99,100.0
sco,0.896551724137931,0.8666666666666667,0.9285714285714286,98.0
sgs,0.98989898989899,1.0,0.98,100.0
sin,0.9948717948717948,1.0,0.9897959183673469,98.0
slk,0.9603960396039604,0.9509803921568627,0.97,100.0
slv,0.9346733668341709,0.9393939393939394,0.93,100.0
sme,0.9552238805970149,0.9504950495049505,0.96,100.0
sna,0.9740932642487047,0.9791666666666666,0.9690721649484536,97.0
snd,0.9949748743718593,0.99,1.0,99.0
som,0.9543147208121826,0.9690721649484536,0.94,100.0
spa,0.7136929460580914,0.6056338028169014,0.8686868686868687,99.0
sqi,0.964824120603015,0.9696969696969697,0.96,100.0
srd,0.9595959595959594,0.9693877551020408,0.95,100.0
srn,0.9746192893401016,0.9795918367346939,0.9696969696969697,99.0
srp,0.9292929292929293,0.9292929292929293,0.9292929292929293,99.0
stq,0.9607843137254902,0.9423076923076923,0.98,100.0
sun,0.9538461538461539,0.9587628865979382,0.9489795918367347,98.0
swa,0.9595959595959594,0.95,0.9693877551020408,98.0
swe,0.9850746268656716,0.9801980198019802,0.99,100.0
szl,0.9852216748768473,0.970873786407767,1.0,100.0
tam,1.0,1.0,1.0,100.0
tat,0.9696969696969697,0.9795918367346939,0.96,100.0
tcy,0.9847715736040609,1.0,0.97,100.0
tel,1.0,1.0,1.0,97.0
tet,0.9191919191919193,0.91,0.9285714285714286,98.0
tgk,0.9949748743718593,1.0,0.99,100.0
tgl,0.9494949494949495,0.94,0.9591836734693877,98.0
tha,0.9655172413793104,0.9423076923076923,0.98989898989899,99.0
ton,0.9950248756218906,0.9900990099009901,1.0,100.0
tsn,0.96,0.9504950495049505,0.9696969696969697,99.0
tuk,0.99009900990099,0.9803921568627451,1.0,100.0
tur,0.8952380952380952,0.8468468468468469,0.9494949494949495,99.0
tyv,0.964824120603015,0.9696969696969697,0.96,100.0
udm,0.9658536585365853,0.9428571428571428,0.99,100.0
uig,0.9949748743718593,1.0,0.99,100.0
ukr,0.9509803921568627,0.9326923076923077,0.97,100.0
urd,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
uzb,0.9950248756218906,0.9900990099009901,1.0,100.0
vec,0.9452736318407959,0.9405940594059405,0.95,100.0
vep,0.9748743718592964,0.9797979797979798,0.97,100.0
vie,0.9949748743718593,0.99,1.0,99.0
vls,0.9108910891089109,0.9019607843137255,0.92,100.0
vol,0.9852216748768473,0.970873786407767,1.0,100.0
vro,0.9801980198019802,0.9705882352941176,0.99,100.0
war,0.989795918367347,1.0,0.9797979797979798,99.0
wln,0.9751243781094527,0.9702970297029703,0.98,100.0
wol,0.9494949494949495,0.9591836734693877,0.94,100.0
wuu,0.9484536082474226,0.968421052631579,0.9292929292929293,99.0
xho,0.9543147208121826,0.94,0.9690721649484536,97.0
xmf,1.0,1.0,1.0,99.0
yid,0.9591836734693877,0.9791666666666666,0.94,100.0
yor,0.9613259668508287,0.9775280898876404,0.9456521739130435,92.0
zea,0.8514851485148516,0.8349514563106796,0.8686868686868687,99.0
zh-yue,0.9032258064516129,0.9230769230769231,0.8842105263157894,95.0
zho,0.9411764705882354,0.9142857142857143,0.9696969696969697,99.0
accuracy,0.9380956469477119,0.9380956469477119,0.9380956469477119,0.9380956469477119
macro avg,0.9383240941470257,0.9404156169772341,0.9378839497382807,23294.0
weighted avg,0.938474663964719,0.9404890928556713,0.9380956469477119,23294.0
