lang,f1-score,precision,recall,support
kbd,0.9949748743718593,1.0,0.99,100.0
khm,0.9943502824858756,1.0,0.9887640449438202,89.0
kin,0.9625668449197862,1.0,0.9278350515463918,97.0
kir,0.9801980198019802,0.9705882352941176,0.99,100.0
koi,0.9081632653061226,0.9270833333333334,0.89,100.0
kok,0.9625668449197862,0.9782608695652174,0.9473684210526315,95.0
kom,0.9052631578947369,0.9555555555555556,0.86,100.0
kor,0.9949238578680203,1.0,0.98989898989899,99.0
krc,0.964824120603015,0.9696969696969697,0.96,100.0
ksh,0.9547738693467336,0.9595959595959596,0.95,100.0
kur,0.9696969696969697,0.9795918367346939,0.96,100.0
lad,0.9489795918367346,0.96875,0.93,100.0
lao,0.9166666666666666,0.9361702127659575,0.8979591836734694,98.0
lat,0.9019607843137256,0.8679245283018868,0.9387755102040817,98.0
lav,0.9850746268656716,0.9801980198019802,0.99,100.0
lez,0.964824120603015,0.96,0.9696969696969697,99.0
lij,0.9949748743718593,1.0,0.99,100.0
lim,0.9484536082474226,0.9787234042553191,0.92,100.0
lin,0.9374999999999999,0.967741935483871,0.9090909090909091,99.0
lit,0.98989898989899,1.0,0.98,100.0
lmo,0.9702970297029702,0.9607843137254902,0.98,100.0
lrc,0.9045226130653266,0.9090909090909091,0.9,100.0
ltg,0.9797979797979798,0.9797979797979798,0.9797979797979798,99.0
ltz,0.9411764705882353,0.9230769230769231,0.96,100.0
lug,0.9949238578680203,1.0,0.98989898989899,99.0
lzh,0.9658536585365853,0.9428571428571428,0.99,100.0
mai,0.9641025641025641,0.9791666666666666,0.9494949494949495,99.0
mal,0.9949238578680203,1.0,0.98989898989899,99.0
map-bms,0.8404255319148937,0.8876404494382022,0.797979797979798,99.0
mar,0.9514563106796117,0.9158878504672897,0.98989898989899,99.0
mdf,0.99009900990099,0.9803921568627451,1.0,100.0
mhr,0.9533678756476685,0.989247311827957,0.92,100.0
min,1.0,1.0,1.0,100.0
mkd,1.0,1.0,1.0,99.0
mlg,0.9949748743718593,0.99,1.0,99.0
mlt,0.989795918367347,1.0,0.9797979797979798,99.0
mon,0.9753694581280788,0.9611650485436893,0.99,100.0
mri,1.0,1.0,1.0,100.0
mrj,0.99,0.99,0.99,100.0
msa,0.8279569892473119,0.875,0.7857142857142857,98.0
mwl,0.9949748743718593,1.0,0.99,100.0
mya,0.9949748743718593,1.0,0.99,100.0
myv,0.9025641025641025,0.9263157894736842,0.88,100.0
mzn,0.9547738693467336,0.9595959595959596,0.95,100.0
nan,0.966183574879227,0.9345794392523364,1.0,100.0
nap,0.9651741293532338,0.9603960396039604,0.97,100.0
nav,1.0,1.0,1.0,100.0
nci,0.8959276018099549,0.8181818181818182,0.99,100.0
nds,0.9748743718592964,0.9797979797979798,0.97,100.0
nds-nl,0.9494949494949495,0.9591836734693877,0.94,100.0
nep,0.8558139534883721,0.7931034482758621,0.9292929292929293,99.0
new,0.9896907216494846,1.0,0.9795918367346939,98.0
nld,0.9514563106796116,0.9245283018867925,0.98,100.0
nno,0.9246231155778895,0.9292929292929293,0.92,100.0
nob,0.9045226130653266,0.9,0.9090909090909091,99.0
nrm,0.99,0.99,0.99,100.0
nso,0.9690721649484536,0.9591836734693877,0.9791666666666666,96.0
oci,0.8108108108108109,0.872093023255814,0.7575757575757576,99.0
olo,0.9949748743718593,1.0,0.99,100.0
ori,0.9948186528497409,1.0,0.9896907216494846,97.0
orm,0.979381443298969,1.0,0.9595959595959596,99.0
oss,0.99,0.99,0.99,100.0
pag,0.9787234042553191,1.0,0.9583333333333334,96.0
pam,0.9400000000000001,0.9215686274509803,0.9591836734693877,98.0
pan,0.9949238578680203,1.0,0.98989898989899,99.0
pap,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
pcd,0.7486033519553074,0.8375,0.6767676767676768,99.0
pdc,0.9333333333333333,0.9381443298969072,0.9285714285714286,98.0
pfl,0.9052631578947369,0.945054945054945,0.8686868686868687,99.0
pnb,0.9797979797979798,0.9897959183673469,0.97,100.0
pol,0.98989898989899,0.98989898989899,0.98989898989899,99.0
por,0.9468599033816424,0.9074074074074074,0.98989898989899,99.0
pus,0.9842931937172774,1.0,0.9690721649484536,97.0
que,0.9333333333333333,0.9578947368421052,0.91,100.0
roa-tara,0.97,0.97,0.97,100.0
roh,0.98989898989899,1.0,0.98,100.0
ron,0.9696969696969697,0.9696969696969697,0.9696969696969697,99.0
rue,0.964102564102564,0.9894736842105263,0.94,100.0
rup,0.9523809523809523,1.0,0.9090909090909091,99.0
rus,0.8034934497816595,0.7076923076923077,0.9292929292929293,99.0
sah,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
san,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
scn,0.9849246231155778,0.98989898989899,0.98,100.0
sco,0.934673366834171,0.9207920792079208,0.9489795918367347,98.0
sgs,0.9949748743718593,1.0,0.99,100.0
sin,0.9948717948717948,1.0,0.9897959183673469,98.0
slk,0.9705882352941176,0.9519230769230769,0.99,100.0
slv,0.9746192893401014,0.9896907216494846,0.96,100.0
sme,0.9658536585365853,0.9428571428571428,0.99,100.0
sna,0.9896907216494846,0.9896907216494846,0.9896907216494846,97.0
snd,1.0,1.0,1.0,99.0
som,0.9748743718592964,0.9797979797979798,0.97,100.0
spa,0.7813953488372093,0.7241379310344828,0.8484848484848485,99.0
sqi,0.97,0.97,0.97,100.0
srd,0.9751243781094527,0.9702970297029703,0.98,100.0
srn,0.989795918367347,1.0,0.9797979797979798,99.0
srp,0.9441624365482234,0.9489795918367347,0.9393939393939394,99.0
stq,0.9702970297029702,0.9607843137254902,0.98,100.0
sun,0.9751243781094527,0.9514563106796117,1.0,98.0
swa,0.9746192893401016,0.9696969696969697,0.9795918367346939,98.0
swe,0.9753694581280788,0.9611650485436893,0.99,100.0
szl,0.9950248756218906,0.9900990099009901,1.0,100.0
tam,1.0,1.0,1.0,100.0
tat,0.97,0.97,0.97,100.0
tcy,0.9797979797979798,0.9897959183673469,0.97,100.0
tel,1.0,1.0,1.0,97.0
tet,0.9587628865979382,0.96875,0.9489795918367347,98.0
tgk,0.99,0.99,0.99,100.0
tgl,0.9847715736040609,0.9797979797979798,0.9897959183673469,98.0
tha,0.955223880597015,0.9411764705882353,0.9696969696969697,99.0
ton,1.0,1.0,1.0,100.0
tsn,0.9795918367346939,0.9896907216494846,0.9696969696969697,99.0
tuk,0.99009900990099,0.9803921568627451,1.0,100.0
tur,0.945273631840796,0.9313725490196079,0.9595959595959596,99.0
tyv,0.9423076923076924,0.9074074074074074,0.98,100.0
udm,0.970873786407767,0.9433962264150944,1.0,100.0
uig,0.9949748743718593,1.0,0.99,100.0
ukr,0.9607843137254902,0.9423076923076923,0.98,100.0
urd,0.9849246231155778,0.98,0.98989898989899,99.0
uzb,0.9803921568627451,0.9615384615384616,1.0,100.0
vec,0.9696969696969697,0.9795918367346939,0.96,100.0
vep,0.98,0.98,0.98,100.0
vie,1.0,1.0,1.0,99.0
vls,0.970873786407767,0.9433962264150944,1.0,100.0
vol,0.9950248756218906,0.9900990099009901,1.0,100.0
vro,0.98989898989899,1.0,0.98,100.0
war,0.98989898989899,0.98989898989899,0.98989898989899,99.0
wln,0.98989898989899,1.0,0.98,100.0
wol,0.9591836734693877,0.9791666666666666,0.94,100.0
wuu,0.9166666666666667,0.946236559139785,0.8888888888888888,99.0
xho,0.9746192893401014,0.96,0.9896907216494846,97.0
xmf,0.9949748743718593,0.99,1.0,99.0
yid,0.964102564102564,0.9894736842105263,0.94,100.0
yor,0.967741935483871,0.9574468085106383,0.9782608695652174,92.0
zea,0.934010152284264,0.9387755102040817,0.9292929292929293,99.0
zh-yue,0.8958333333333333,0.8865979381443299,0.9052631578947369,95.0
zho,0.9411764705882354,0.9142857142857143,0.9696969696969697,99.0
accuracy,0.9544947196703014,0.9544947196703014,0.9544947196703014,0.9544947196703014
macro avg,0.9548342353787489,0.9576236330877038,0.9543286921207756,23294.0
weighted avg,0.9549632810212565,0.9577124969020298,0.9544947196703014,23294.0
