,f1-score,precision,recall,support
fin,0.9949748743718593,1.0,0.99,100.0
fra,0.6808510638297871,0.5245901639344263,0.9696969696969697,99.0
frp,0.9587628865979382,0.9893617021276596,0.93,100.0
fry,0.9696969696969697,0.9696969696969697,0.9696969696969697,99.0
fur,0.9795918367346939,1.0,0.96,100.0
gag,0.9368421052631579,0.9888888888888889,0.89,100.0
gla,0.9753694581280788,0.9611650485436893,0.99,100.0
gle,0.989795918367347,1.0,0.9797979797979798,99.0
glg,0.9693877551020409,0.979381443298969,0.9595959595959596,99.0
glk,0.9441624365482233,0.9587628865979382,0.93,100.0
glv,0.9847715736040609,1.0,0.97,100.0
grn,0.98989898989899,1.0,0.98,100.0
guj,0.9947089947089947,1.0,0.9894736842105263,95.0
hak,0.9847715736040609,1.0,0.97,100.0
hat,1.0,1.0,1.0,100.0
hau,0.9950248756218906,0.9900990099009901,1.0,100.0
hbs,0.3636363636363637,0.46153846153846156,0.3,100.0
heb,0.9753694581280788,0.9611650485436893,0.99,100.0
hif,0.9468085106382979,0.967391304347826,0.9270833333333334,96.0
hin,0.9655172413793104,0.9423076923076923,0.98989898989899,99.0
hrv,0.3037974683544304,0.4067796610169492,0.24242424242424243,99.0
hsb,0.97,0.97,0.97,100.0
hun,0.9803921568627451,0.9615384615384616,1.0,100.0
hye,0.989795918367347,1.0,0.9797979797979798,99.0
ibo,0.9550561797752808,1.0,0.9139784946236559,93.0
ido,0.9751243781094527,0.9702970297029703,0.98,100.0
ile,0.9473684210526316,1.0,0.9,100.0
ilo,0.989795918367347,1.0,0.9797979797979798,99.0
ina,0.9700000000000001,0.9603960396039604,0.9797979797979798,99.0
ind,0.3625,0.47540983606557374,0.29292929292929293,99.0
isl,0.99,0.99,0.99,100.0
ita,0.8899082568807338,0.8151260504201681,0.9797979797979798,99.0
jam,0.9949238578680203,1.0,0.98989898989899,99.0
jav,0.9411764705882354,0.9142857142857143,0.9696969696969697,99.0
jbo,1.0,1.0,1.0,100.0
jpn,0.9949748743718593,0.99,1.0,99.0
kaa,0.9950248756218906,0.9900990099009901,1.0,100.0
kab,0.9361702127659574,0.9887640449438202,0.8888888888888888,99.0
kan,0.9950248756218906,0.9900990099009901,1.0,100.0
kat,0.9846153846153847,1.0,0.9696969696969697,99.0
kaz,0.9949238578680203,1.0,0.98989898989899,99.0
kbd,0.99,0.99,0.99,100.0
khm,0.9943502824858756,1.0,0.9887640449438202,89.0
kin,0.9735449735449735,1.0,0.9484536082474226,97.0
kir,0.99,0.99,0.99,100.0
koi,0.9270833333333334,0.967391304347826,0.89,100.0
kok,0.9732620320855614,0.9891304347826086,0.9578947368421052,95.0
kom,0.9435897435897437,0.968421052631579,0.92,100.0
kor,0.9949238578680203,1.0,0.98989898989899,99.0
krc,0.98989898989899,1.0,0.98,100.0
ksh,0.9591836734693877,0.9791666666666666,0.94,100.0
kur,0.9411764705882353,0.9230769230769231,0.96,100.0
lad,0.9690721649484536,1.0,0.94,100.0
lao,0.9289617486338798,1.0,0.8673469387755102,98.0
lat,0.912621359223301,0.8703703703703703,0.9591836734693877,98.0
lav,0.9801980198019802,0.9705882352941176,0.99,100.0
lez,0.989795918367347,1.0,0.9797979797979798,99.0
lij,0.9847715736040609,1.0,0.97,100.0
lim,0.9702970297029702,0.9607843137254902,0.98,100.0
lin,0.9354838709677419,1.0,0.8787878787878788,99.0
lit,0.98989898989899,1.0,0.98,100.0
lmo,0.9655172413793104,0.9514563106796117,0.98,100.0
lrc,0.924731182795699,1.0,0.86,100.0
ltg,0.989795918367347,1.0,0.9797979797979798,99.0
ltz,0.9693877551020408,0.9895833333333334,0.95,100.0
lug,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
lzh,0.9753694581280788,0.9611650485436893,0.99,100.0
mai,0.9641025641025641,0.9791666666666666,0.9494949494949495,99.0
mal,0.9949238578680203,1.0,0.98989898989899,99.0
map-bms,0.8620689655172413,1.0,0.7575757575757576,99.0
mar,0.989795918367347,1.0,0.9797979797979798,99.0
mdf,1.0,1.0,1.0,100.0
mhr,0.9417989417989417,1.0,0.89,100.0
min,0.9950248756218906,0.9900990099009901,1.0,100.0
mkd,1.0,1.0,1.0,99.0
mlg,1.0,1.0,1.0,99.0
mlt,0.989795918367347,1.0,0.9797979797979798,99.0
mon,0.966183574879227,0.9345794392523364,1.0,100.0
mri,1.0,1.0,1.0,100.0
mrj,1.0,1.0,1.0,100.0
msa,0.5849802371541503,0.4774193548387097,0.7551020408163265,98.0
mwl,0.99009900990099,0.9803921568627451,1.0,100.0
mya,0.9949748743718593,1.0,0.99,100.0
myv,0.8571428571428572,0.875,0.84,100.0
mzn,0.9543147208121826,0.9690721649484536,0.94,100.0
nan,0.970873786407767,0.9433962264150944,1.0,100.0
nap,0.9795918367346939,1.0,0.96,100.0
nav,1.0,1.0,1.0,100.0
nci,0.8791208791208791,0.975609756097561,0.8,100.0
nds,0.9847715736040609,1.0,0.97,100.0
nds-nl,0.9547738693467336,0.9595959595959596,0.95,100.0
nep,0.8095238095238094,0.7657657657657657,0.8585858585858586,99.0
new,0.9948717948717948,1.0,0.9897959183673469,98.0
nld,0.9423076923076924,0.9074074074074074,0.98,100.0
nno,0.9552238805970149,0.9504950495049505,0.96,100.0
nob,0.9128205128205129,0.9270833333333334,0.898989898989899,99.0
nrm,0.9950248756218906,0.9900990099009901,1.0,100.0
nso,0.9841269841269841,1.0,0.96875,96.0
oci,0.8023255813953489,0.9452054794520548,0.696969696969697,99.0
olo,0.9850746268656716,0.9801980198019802,0.99,100.0
ori,0.9948186528497409,1.0,0.9896907216494846,97.0
orm,0.9846153846153847,1.0,0.9696969696969697,99.0
oss,1.0,1.0,1.0,100.0
pag,0.9787234042553191,1.0,0.9583333333333334,96.0
pam,0.9479166666666666,0.9680851063829787,0.9285714285714286,98.0
pan,0.9949238578680203,1.0,0.98989898989899,99.0
pap,0.9847715736040609,0.9897959183673469,0.9797979797979798,99.0
pcd,0.7891891891891892,0.8488372093023255,0.7373737373737373,99.0
pdc,0.9255319148936171,0.9666666666666667,0.8877551020408163,98.0
pfl,0.90625,0.9354838709677419,0.8787878787878788,99.0
pnb,0.9847715736040609,1.0,0.97,100.0
pol,0.9849246231155778,0.98,0.98989898989899,99.0
por,0.9849246231155778,0.98,0.98989898989899,99.0
pus,0.9844559585492227,0.9895833333333334,0.979381443298969,97.0
que,0.9393939393939393,0.9489795918367347,0.93,100.0
roa-tara,0.97,0.97,0.97,100.0
roh,0.98,0.98,0.98,100.0
ron,0.96,0.9504950495049505,0.9696969696969697,99.0
rue,0.9690721649484536,1.0,0.94,100.0
rup,0.9304812834224598,0.9886363636363636,0.8787878787878788,99.0
rus,0.7649402390438247,0.631578947368421,0.9696969696969697,99.0
sah,0.9949238578680203,1.0,0.98989898989899,99.0
san,0.989795918367347,1.0,0.9797979797979798,99.0
scn,0.9950248756218906,0.9900990099009901,1.0,100.0
sco,0.9560975609756098,0.9158878504672897,1.0,98.0
sgs,0.9949748743718593,1.0,0.99,100.0
sin,0.9948717948717948,1.0,0.9897959183673469,98.0
slk,0.9949748743718593,1.0,0.99,100.0
slv,0.9705882352941176,0.9519230769230769,0.99,100.0
sme,0.9850746268656716,0.9801980198019802,0.99,100.0
sna,0.9842931937172774,1.0,0.9690721649484536,97.0
snd,1.0,1.0,1.0,99.0
som,0.9644670050761421,0.979381443298969,0.95,100.0
spa,0.657439446366782,0.5,0.9595959595959596,99.0
sqi,0.9746192893401014,0.9896907216494846,0.96,100.0
srd,0.9748743718592964,0.9797979797979798,0.97,100.0
srn,0.989795918367347,1.0,0.9797979797979798,99.0
srp,0.9641025641025641,0.9791666666666666,0.9494949494949495,99.0
stq,0.9751243781094527,0.9702970297029703,0.98,100.0
sun,0.9948717948717948,1.0,0.9897959183673469,98.0
swa,0.9696969696969697,0.96,0.9795918367346939,98.0
swe,0.9950248756218906,0.9900990099009901,1.0,100.0
szl,1.0,1.0,1.0,100.0
tam,0.9950248756218906,0.9900990099009901,1.0,100.0
tat,0.9847715736040609,1.0,0.97,100.0
tcy,0.98989898989899,1.0,0.98,100.0
tel,1.0,1.0,1.0,97.0
tet,0.9462365591397849,1.0,0.8979591836734694,98.0
tgk,0.9949748743718593,1.0,0.99,100.0
tgl,0.9897959183673469,0.9897959183673469,0.9897959183673469,98.0
tha,0.9519230769230769,0.908256880733945,1.0,99.0
ton,1.0,1.0,1.0,100.0
tsn,0.9850746268656716,0.9705882352941176,1.0,99.0
tuk,1.0,1.0,1.0,100.0
tur,0.9289099526066351,0.875,0.98989898989899,99.0
tyv,0.9847715736040609,1.0,0.97,100.0
udm,0.9950248756218906,0.9900990099009901,1.0,100.0
uig,0.9849246231155778,0.98989898989899,0.98,100.0
ukr,0.9803921568627451,0.9615384615384616,1.0,100.0
urd,0.9850746268656716,0.9705882352941176,1.0,99.0
uzb,1.0,1.0,1.0,100.0
vec,0.9746192893401014,0.9896907216494846,0.96,100.0
vep,1.0,1.0,1.0,100.0
vie,1.0,1.0,1.0,99.0
vls,0.9751243781094527,0.9702970297029703,0.98,100.0
vol,1.0,1.0,1.0,100.0
vro,0.9850746268656716,0.9801980198019802,0.99,100.0
war,0.9949238578680203,1.0,0.98989898989899,99.0
wln,0.9949748743718593,1.0,0.99,100.0
wol,0.9473684210526316,1.0,0.9,100.0
wuu,0.9374999999999999,0.967741935483871,0.9090909090909091,99.0
xho,0.9844559585492227,0.9895833333333334,0.979381443298969,97.0
xmf,1.0,1.0,1.0,99.0
yid,0.9743589743589743,1.0,0.95,100.0
yor,0.9836065573770493,0.989010989010989,0.9782608695652174,92.0
zea,0.9583333333333333,0.989247311827957,0.9292929292929293,99.0
zh-yue,0.9347826086956522,0.9662921348314607,0.9052631578947369,95.0
zho,0.926829268292683,0.8962264150943396,0.9595959595959596,99.0
accuracy,0.9469391259551816,0.9469391259551816,0.9469391259551816,0.9469391259551816
macro avg,0.9480935417997417,0.9569579173001308,0.9465851212718327,23294.0
weighted avg,0.9483314276570343,0.956899622458981,0.9469391259551816,23294.0
